Date,Open,High,Low,Close,Adj Close,Volume
2017-12-20,24.726700,24.793301,24.500000,24.666700,23.340132,96450
2017-12-21,24.666700,25.126699,24.559999,24.933300,23.592392,15213450
2017-12-22,24.666700,24.786699,24.633301,24.666700,23.340132,14584950
2017-12-25,24.666700,24.666700,24.666700,24.666700,23.340132,0
2017-12-26,24.693300,25.053301,24.666700,24.966700,23.623991,255900
2017-12-27,25.066700,25.100000,24.860001,24.980000,23.636580,168450
2017-12-28,25.059999,25.133301,24.953300,25.126699,23.775387,512100
2017-12-29,25.126699,25.126699,25.126699,25.126699,23.775387,0
2018-01-02,25.306700,25.653299,25.160000,25.653299,24.288168,513450
2018-01-03,25.653299,25.853300,25.400000,25.853300,24.477528,413700
2018-01-04,25.853300,26.266701,25.799999,26.139999,24.748968,340200
2018-01-05,26.139999,26.326700,25.926701,26.320000,24.919394,250050
2018-01-08,26.073299,26.226700,25.966700,26.173300,24.780493,238200
2018-01-09,26.160000,26.160000,25.799999,25.799999,24.427059,131100
2018-01-10,25.786699,25.953300,25.660000,25.900000,24.521736,344850
2018-01-11,25.933300,26.466700,25.933300,26.466700,25.058285,201750
2018-01-12,26.326700,26.326700,26.013300,26.133301,24.742624,376800
2018-01-15,26.113300,26.246700,26.080000,26.213301,24.818369,261450
2018-01-16,26.306700,26.600000,26.253300,26.393299,24.988791,196950
2018-01-17,26.393299,26.693300,26.353300,26.693300,25.272821,389400
2018-01-18,26.559999,26.799999,26.540001,26.766701,25.342325,306750
2018-01-19,26.766701,26.953300,26.660000,26.873301,25.443249,304950
2018-01-22,26.879999,27.400000,26.813299,27.266701,25.815712,571050
2018-01-23,27.073299,27.459999,27.073299,27.146700,25.702099,448050
2018-01-24,27.333300,28.533300,27.333300,28.533300,27.014912,528450
2018-01-25,28.533300,28.533300,28.533300,28.533300,27.014912,0
2018-01-26,28.799999,29.866699,28.753300,29.719999,28.138464,1242750
2018-01-29,29.726700,29.793301,29.219999,29.533300,27.961693,350700
2018-01-30,29.480000,29.480000,28.906700,29.273300,27.715532,304350
2018-01-31,29.353300,30.000000,29.353300,29.559999,27.986973,252900
2018-02-01,29.600000,29.866699,29.260000,29.760000,28.190638,328950
2018-02-02,29.420000,29.733299,29.200001,29.600000,28.039072,522450
2018-02-05,29.559999,29.666700,28.926701,28.966700,27.439171,209700
2018-02-06,28.886700,29.706699,28.860001,29.500000,27.944353,1292850
2018-02-07,29.533300,29.813299,28.933300,28.946699,27.420225,329100
2018-02-08,29.093300,29.553301,28.746700,28.900000,27.375986,299400
2018-02-09,28.926701,29.393299,28.613300,29.020000,27.489658,525300
2018-02-14,null,null,null,null,null,null
2018-02-15,30.106701,30.466700,30.106701,30.466700,28.860071,371850
2018-02-16,29.246700,29.246700,28.680000,28.933300,27.525341,239100
2018-02-19,29.153299,29.180000,28.866699,28.966700,27.557116,354450
2018-02-20,28.700001,29.446699,28.700001,29.446699,28.013767,358650
2018-02-21,29.500000,30.393299,29.473301,29.846701,28.394297,763800
2018-02-22,29.913300,30.233299,29.746700,30.059999,28.597219,620250
2018-02-23,30.059999,30.160000,29.546700,30.020000,28.559160,476550
2018-02-26,30.166700,30.200001,29.806700,29.933300,28.476686,510150
2018-02-27,29.500000,29.926701,29.500000,29.666700,28.223055,353850
2018-02-28,29.540001,29.600000,29.066700,29.066700,27.652256,360900
2018-03-01,29.126699,29.333300,28.980000,29.266701,27.856894,350700
2018-03-02,29.253300,29.766701,28.780001,29.733299,28.301018,251250
2018-03-05,29.666700,30.200001,29.333300,30.200001,28.745239,365700
2018-03-06,30.393299,30.540001,30.000000,30.246700,28.789684,535350
2018-03-07,30.246700,30.266701,29.500000,30.106701,28.656433,766950
2018-03-08,30.133301,30.253300,29.626699,29.820000,28.383543,471150
2018-03-09,29.906700,30.233299,29.813299,30.233299,28.776936,94200
2018-03-12,30.200001,30.433300,30.200001,30.393299,28.929226,96150
2018-03-13,30.379999,30.433300,30.026699,30.280001,28.821384,129000
2018-03-14,30.280001,30.520000,28.893299,29.840000,28.402576,550050
2018-03-15,29.879999,30.000000,29.413300,29.926701,28.485109,196950
2018-03-16,29.740000,30.240000,29.733299,29.733299,28.301018,296250
2018-03-19,29.820000,29.820000,29.160000,29.346701,27.933039,331050
2018-03-20,29.346701,29.573299,29.093300,29.266701,27.856894,205500
2018-03-21,29.506701,29.506701,29.120001,29.213301,27.806067,164100
2018-03-22,29.206699,29.493299,29.033300,29.166700,27.761707,837300
2018-03-23,29.160000,29.746700,29.133301,29.526699,28.104368,125700
2018-03-26,29.706699,29.900000,29.340000,29.673300,28.243906,88500
2018-03-27,29.799999,29.873301,29.080000,29.153299,27.748955,138000
2018-03-28,29.193300,29.586700,29.000000,29.486700,28.066296,148350
2018-03-29,29.853300,30.086700,29.666700,30.086700,28.637392,165300
2018-04-02,30.080000,30.166700,29.866699,30.026699,28.594540,305550
2018-04-03,30.126699,30.266701,29.866699,30.133301,28.696056,382050
2018-04-04,30.066700,30.133301,29.299999,29.940001,28.511978,245700
2018-04-05,30.260000,30.466700,29.686701,29.959999,28.531019,149700
2018-04-06,30.080000,30.086700,29.573299,30.086700,28.651676,116250
2018-04-09,29.953300,30.166700,29.486700,29.533300,28.124670,132900
2018-04-10,29.540001,29.826700,29.480000,29.826700,28.404078,111150
2018-04-11,29.826700,30.273300,29.666700,30.200001,28.759577,266100
2018-04-12,30.286699,30.313299,29.906700,30.133301,28.696056,194100
2018-04-13,30.240000,30.253300,29.340000,29.366699,27.966019,87150
2018-04-16,29.580000,29.600000,28.806700,28.840000,27.464441,60300
2018-04-17,29.000000,29.566700,28.840000,29.566700,28.156481,126300
2018-04-18,29.673300,30.293301,29.673300,30.133301,28.696056,242400
2018-04-19,30.106701,30.166700,29.526699,29.700001,28.283426,120750
2018-04-20,29.613300,29.920000,29.326700,29.820000,28.397699,78300
2018-04-23,29.799999,29.820000,29.153299,29.240000,27.845362,139950
2018-04-24,29.273300,29.820000,28.886700,29.139999,27.750132,331950
2018-04-25,29.006701,29.593300,28.913300,29.593300,28.181812,72000
2018-04-26,29.666700,30.013300,29.386700,29.940001,28.511978,105600
2018-04-27,30.126699,30.160000,29.660000,29.920000,28.492931,81000
2018-04-30,29.933300,29.953300,29.400000,29.400000,27.997734,55650
2018-05-02,29.379999,29.379999,28.360001,28.360001,27.021120,134700
2018-05-03,28.466700,28.600000,27.886700,27.986700,26.665445,136950
2018-05-04,27.993299,28.120001,27.686701,27.686701,26.379612,194700
2018-05-07,28.040001,28.219999,27.586700,27.860001,26.544729,108600
2018-05-08,27.860001,28.000000,27.540001,27.900000,26.582840,113700
2018-05-09,28.026699,28.073299,27.466700,27.920000,26.601894,104700
2018-05-10,28.093300,28.600000,28.093300,28.500000,27.154516,61500
2018-05-11,28.500000,28.580000,28.059999,28.086700,26.760727,69900
2018-05-14,28.306700,28.306700,27.526699,27.646700,26.341494,50700
2018-05-15,27.646700,27.680000,27.046700,27.473301,26.176281,169200
2018-05-16,27.533300,27.920000,27.426701,27.566700,26.265278,152850
2018-05-17,27.680000,27.680000,26.513300,26.520000,25.267986,275100
2018-05-18,26.626699,26.920000,25.866699,26.580000,25.325155,579900
2018-05-21,26.793301,26.820000,25.966700,26.406700,25.160038,192900
2018-05-22,26.513300,27.000000,26.226700,26.799999,25.534771,151500
2018-05-23,26.639999,26.713301,26.340000,26.573299,25.318775,341700
2018-05-24,26.400000,26.593300,25.940001,26.593300,25.337830,365550
2018-05-25,26.639999,26.666700,26.133301,26.260000,25.020260,201300
2018-05-28,26.260000,26.273300,25.353300,25.373301,24.175430,249600
2018-05-29,25.666700,25.900000,25.139999,25.200001,24.010305,270900
